hashtag_id,tweet_id,hashtag
1,2,both
2,2,live
3,3,phone
4,3,ahead
5,4,ever
6,4,quickly
7,4,new
8,4,I
9,5,foreign
10,5,mention
11,6,anyone
12,6,respond
13,6,perhaps
14,6,market
15,6,run
16,7,president
17,8,option
18,8,husband
19,8,admit
20,10,available
21,10,thing
22,12,treat
23,12,care
24,12,eat
25,12,author
26,14,upon
27,14,all
28,14,direction
29,14,fly
30,15,course
31,15,difficult
32,15,fine
33,16,today
34,16,question
35,17,about
36,17,tough
37,17,interesting
38,18,every
39,18,author
40,19,cost
41,19,form
42,19,foot
43,19,year
44,20,control
45,20,health
46,20,do
47,20,fact
48,23,tough
49,23,particularly
50,23,their
51,24,plant
52,24,account
53,25,wonder
54,25,purpose
55,26,account
56,26,position
57,26,foot
58,29,able
59,29,have
60,29,that
61,29,especially
62,30,effort
63,30,situation
64,30,others
65,30,different
66,30,sort
67,31,small
68,31,knowledge
69,32,mission
70,32,owner
71,32,know
72,32,budget
73,32,reason
74,33,difficult
75,33,significant
76,33,at
77,33,take
78,33,difficult
79,34,sense
80,35,sell
81,35,officer
82,35,rate
83,35,board
84,35,front
85,36,before
86,36,enter
87,36,cover
88,36,gun
89,37,series
90,37,instead
91,37,behind
92,38,response
93,38,learn
94,38,design
95,38,energy
96,40,sell
97,40,begin
98,41,former
99,41,impact
100,41,above
101,42,most
102,42,model
103,43,mind
104,44,sometimes
105,44,live
106,45,nature
107,46,green
108,47,story
109,47,teacher
110,47,late
111,49,land
112,49,discover
113,50,find
114,50,determine
115,50,budget
116,50,sure
117,51,parent
118,51,old
119,51,medical
120,52,treatment
121,53,as
122,53,center
123,54,on
124,54,machine
125,54,land
126,55,just
127,55,drug
128,57,eye
129,57,entire
130,57,high
131,57,hundred
132,58,truth
133,59,idea
134,59,size
135,60,open
136,60,unit
137,60,both
138,60,accept
139,60,perhaps
140,61,just
141,61,however
142,61,arm
143,61,owner
144,61,here
145,62,apply
146,62,education
147,62,by
148,62,kitchen
149,62,beat
150,63,wind
151,63,must
152,63,benefit
153,65,even
154,67,administration
155,67,forget
156,67,system
157,67,organization
158,69,beyond
159,70,yard
160,70,fine
161,71,increase
162,72,everything
163,72,give
164,73,himself
165,74,task
166,77,buy
167,77,research
168,77,option
169,79,seek
170,79,upon
171,80,leave
172,80,enter
173,81,room
174,81,win
175,81,myself
176,82,find
177,82,head
178,82,if
179,82,question
180,84,environment
181,85,meet
182,86,film
